Data File    , C:\Program Files\Biolog\OL_DC_23\PMX\Data_2013\09\PMX_443_130912_B_14.OKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up Time  ,Sep 12 2013 3:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position     , 7-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type   ,PM 2-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Type  ,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Name  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Number,ECI-504 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other        ,PM2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,  A01,  A02,  A03,  A04,  A05,  A06,  A07,  A08,  A09,  A10,  A11,  A12,  B01,  B02,  B03,  B04,  B05,  B06,  B07,  B08,  B09,  B10,  B11,  B12,  C01,  C02,  C03,  C04,  C05,  C06,  C07,  C08,  C09,  C10,  C11,  C12,  D01,  D02,  D03,  D04,  D05,  D06,  D07,  D08,  D09,  D10,  D11,  D12,  E01,  E02,  E03,  E04,  E05,  E06,  E07,  E08,  E09,  E10,  E11,  E12,  F01,  F02,  F03,  F04,  F05,  F06,  F07,  F08,  F09,  F10,  F11,  F12,  G01,  G02,  G03,  G04,  G05,  G06,  G07,  G08,  G09,  G10,  G11,  G12,  H01,  H02,  H03,  H04,  H05,  H06,  H07,  H08,  H09,  H10,  H11,  H12
45.5,0,0,0,0,0,218,0,3,0,0,0,14,0,225,0,0,201,0,0,0,0,0,3,236,0,0,0,0,0,0,202,0,0,0,0,0,233,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,206,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0
45.75,0,0,0,0,0,218,0,3,0,0,0,14,0,225,0,0,201,0,0,0,0,0,3,236,0,0,0,0,0,0,202,0,0,0,0,0,233,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,206,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0
46,0,0,0,0,0,219,0,3,0,0,0,14,0,225,0,0,201,0,0,0,0,0,3,236,0,0,0,0,0,0,202,0,0,0,0,0,233,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,206,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0
46.25,0,0,0,0,0,219,0,3,0,0,0,14,0,225,0,0,201,0,0,0,0,0,3,236,0,0,0,0,0,0,202,0,0,0,0,0,233,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,206,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0
46.5,0,0,0,0,0,219,0,3,0,0,0,14,0,225,0,0,201,0,0,0,0,0,3,236,0,0,0,0,0,0,202,0,0,0,0,0,233,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,208,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0
46.75,0,0,0,0,0,219,0,3,0,0,0,14,0,225,0,0,201,0,0,0,0,0,3,236,0,0,0,0,0,0,202,0,0,0,0,0,233,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,209,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0
47,0,0,0,0,0,220,0,3,0,0,0,14,0,225,0,0,202,0,0,0,0,0,3,236,0,0,0,0,0,0,204,0,0,0,0,0,233,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,211,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0
47.25,0,0,0,0,0,220,0,3,0,0,0,14,0,225,0,0,202,0,0,0,0,0,3,236,0,0,0,0,0,0,204,0,0,0,0,0,233,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,212,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0
47.5,0,0,0,0,0,220,0,3,0,0,0,14,0,225,0,0,202,0,0,0,0,0,3,236,0,0,0,0,0,0,204,0,0,0,0,0,233,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,212,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0
47.75,0,0,0,0,0,220,0,3,0,0,0,14,0,225,0,0,202,0,0,0,0,0,3,236,0,0,0,0,0,0,204,0,0,0,0,0,234,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,19,0,0,0,0,9,0,241,0,3,24,0,0,0,0,0,0,0,213,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0
